Bank ID,Bank Name,Bank Code,IMPS Status,NEFT Status,Verification Status,IFSC Status,Static IFSC
83,Ahmedabad Mercantile Co-Op Bank,AMCB,Enabled,Enabled,on,Required,NULL
84,Bharat Co-Op Bank Mumbai,BCBM,Enabled,Enabled,on,Required,NULL
85,Cosmos Co-Op Bank,COSB,Enabled,Enabled,on,Required,NULL
86,Federal Bank,FDRL,Enabled,Enabled,on,Required,NULL
87,Greater Bombay Co-Op Bank,GBCB,Enabled,Enabled,on,Required,NULL
88,Jammu and Kashmir Bank,JAKA,Enabled,Enabled,on,Required,NULL
89,Kalupur Commercial Co-Op Bank,KCCB,Enabled,Enabled,on,Required,NULL
90,Karnataka State Apex Co-Op Bank,KSBC,Disabled,Enabled,off,Required,NULL
91,Kalyan Janata Sahakari Bank,KJSB,Enabled,Enabled,on,Required,NULL
92,Lakshmi Vilas Bank,LAVB,Enabled,Enabled,on,Required,NULL
93,Mehsana Urban Co-Op Bank,MSNU,Enabled,Enabled,on,Required,NULL
94,Nainital Bank,NTBL,Enabled,Enabled,on,Required,NULL
95,The Ratnakar Bank Ltd,RATN,Enabled,Enabled,on,Required,NULL
96,Royal Bank of Scotland,ABNA,Disabled,Enabled,off,Required,NULL
97,Saraswat Co-Op Bank,SRCB,Enabled,Enabled,on,Required,NULL
98,Shamrao Vithal Co-Op Bank,SVCB,Enabled,Enabled,on,Required,NULL
99,The Surat Peoples Co-Op Bank,SPCB,Enabled,Enabled,on,Required,NULL
100,Thane Janata Sahakari Bank,TJSB,Enabled,Enabled,on,Required,NULL
101,Tamilnadu State Apex Co-Op Bank,TNSC,Enabled,Enabled,on,Required,NULL
102,West Bengal State Co-Op Bank,WBSC,Disabled,Enabled,off,Required,NULL
103,Vijaya Bank,VIJB,Enabled,Enabled,off,Required,NULL
108,State Bank of India,SBIN,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,SBIN0009062
109,A P Mahesh Co-Op Urban Bank Ltd,APMC,Enabled,Enabled,on,Required,NULL
110,Karad Urban Co-Op Bank,KUCB,Enabled,Enabled,on,Required,NULL
111,Karnataka State Co-Op Apex Bank,KSCB,Disabled,Enabled,off,Required,NULL
112,Nashik Merchants Co-Op Bank,NMCB,Enabled,Enabled,on,Required,NULL
113,UBS AG Bank,UBSW,Disabled,Enabled,off,Required,NULL
114,United Bank of India,UTBI,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,UTBI0CON702
115,Kangra Co-Op Bank,KANG,Disabled,Enabled,off,Required,NULL
116,Kangra Central Co-Op Bank,KACE,Enabled,Enabled,on,Required,NULL
117,Prathama Bank,PRTH,Enabled,Enabled,on,Required,NULL
119,Chaitanya Godavari Grameena Bank,ACGG,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,UBIN0CG7999
121,Rushikulya Gramin Bank,ANDG,Disabled,Enabled,off,Required,ANDB0008999
122,Sharda Gramin Bank,ASGB,Disabled,Enabled,off,Required,ALLA0SG5001
123,Nainital Almora Kshetriya Gramin Bank,BARG,Disabled,Enabled,off,Required,BARB0NAKGBX
124,Baroda Rajasthan Gramin Bank,BARR,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,BARB0BRGBXX
125,Baroda Uttar Pradesh Gramin Bank,BARU,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,BARB0BUPGBX
126,Baroda Gujarat Gramin Bank,BGGB,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,BARB0BGGBXX
127,Jhabua Dhar Kshetriya Gramin Bank,BJDG,Disabled,Enabled,off,Required,BARB0JDKGBX
129,Durg Rajnandgaon Gramin Bank,BKDR,Disabled,Enabled,off,Required,BKDN0800000
130,Baitarani Gramin Bank,BKIB,Disabled,Enabled,off,Required,BKID0BAITGB
131,Aryavart Gramin Bank,BKIG,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,BKID0ARYAGB
133,Wainganga Krishna Gramin Bank,BWKG,Disabled,Enabled,off,Required,BKID0WAINGB
134,Uttar Bihar Gramin Bank,CBBB,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,CBIN0R10001
135,Ballia Etawah Gramin Bank,CBIG,Disabled,Enabled,off,Required,CBIN0R30001
136,Hadoti Kshetriya Gramin Bank,CBIH,Disabled,Enabled,off,Required,CBIN0R70036
137,Surguja Kshetriya Gramin Bank,CKGB,Disabled,Enabled,off,Required,CBIN0R60051
138,South Malabar Gramin Bank,CMGB,Disabled,Enabled,off,Required,CNRB00SMGB4
139,Chickmangalur Kodagu Gramin Bank,CORG,Disabled,Enabled,off,Required,CORP0CK0001
140,Pragathi Gramin Bank,CPGB,Disabled,Enabled,off,Required,CNRB000PGB1
141,Shreyas Gramin Bank,CSGB,Disabled,Enabled,off,Required,CNRB000SGB7
142,Satpura Narmada Kshetriya Gramin Bank,CSUG,Disabled,Enabled,off,Required,CBIN0R20002
143,Uttar Banga Kshetriya Gramin Bank,CUKG,Disabled,Enabled,off,Required,CBIN0R40012
144,Vidharbha Kshetriya Gramin Bank,CVAG,Disabled,Enabled,off,Required,CBIN0R50002
145,Madhya Bharat Gramin Bank,FBIG,Disabled,Enabled,on,Required,NULL
146,Gurgaon Gramin Bank,GGBK,Disabled,Enabled,off,Required,GGBK0000001
147,Malwa Gramin Bank,HDFG,Disabled,Enabled,off,Required,HDFC0001431
148,Mewar Anchalik Gramin Bank,ICIG,Disabled,Enabled,off,Required,ICIC00MEWAR
149,Pallavan Grama Bank,IDIG,Disabled,Enabled,off,Required,IDIB0PLB001
150,Neelachal Gramya Bank,INGB,Disabled,Enabled,off,Required,IOBA0000159
151,Pandyan Gramin Bank,IOBG,Enabled,Enabled,off,Static IFSC works for IMPS and NEFT,IOBA0PGB001
153,J&K Grameen Bank,JAKG,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,JAKA0GRAMEN
154,Maharashtra Gramin Bank,MAHG,Enabled,Enabled,on,Required,NULL
156,Rajasthan Gramin Bank,PRGB,Disabled,Enabled,off,Required,PUNB0001300
157,Sarva UP Gramin Bank,PSGB,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,PUNB0SUPGB5
158,Sutlej Gramin Bank,PSIG,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,PSIB0SGB002
159,Himachal Gramin Bank,PUHG,Enabled,Enabled,off,Static IFSC works for IMPS and NEFT,PUNB0HPGB04
160,Madhya Bihar Gramin Bank,PUNG,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,PUNB0MBGB06
161,Sarva Haryana Gramin Bank,PUNH,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,PUNB0HGB001
162,Andhra Pradesh Grameena Vikas Bank,APGV,Enabled,Enabled,on,Required,NULL
163,Arunachal Pradesh Rural Bank,SBAP,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,SBIN0RRARGB
164,MG Baroda Gramin Bank,SBBG,Disabled,Enabled,off,Required,SBBJ0RRMRGB
165,Telangana Grameena Bank,SBHG,Enabled,Enabled,on,Required,NULL
166,Chhattisgarh Gramin Bank,SBIC,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,SBIN0RRCHGB
167,Ellaqui Dehati Bank,SBIE,Enabled,Enabled,off,Static IFSC works for IMPS and NEFT,SBIN0RRELGB
168,Mizoram Rural Bank,SBIG,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,SBIN0RRMIGB
169,Jharkhand Gramin Bank,SBIJ,Disabled,Enabled,off,Required,NULL
170,Kaveri Grameena Bank,SBMG,Enabled,Enabled,on,Required,NULL
171,Vidisha Bhopal Kshetriya Gramin Bank,SBOG,Disabled,Enabled,off,Required,SBIN0RRVDGB
172,Krishna Gramin Bank,SKRG,Disabled,Enabled,off,Required,SBIN0RRKRGB
173,Langpi Dehangi Rural Bank,SLDR,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,SBIN0RRLDGB
174,Meghalaya Rural Bank,SMEG,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,SBIN0RRMEGB
176,Parvatiya Gramin Bank,SPGB,Disabled,Enabled,off,Required,SBIN0RRPRGB
177,Purvanchal Gramin Bank,SRGB,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,SBIN0RRPUGB
179,Saurashtra Gramin Bank,SSGB,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,SBIN0RRSRGB
180,Samastipur Kshetriya Gramin Bank,SSKG,Disabled,Enabled,off,Static IFSC works for IMPS and NEFT,SBIN0RRSMGB
181,Uttarakhand Gramin Bank,SUTG,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,SBIN0RRUTGB
182,Utkal Gramya Bank,SUUG,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,SBIN0RRUKGB
184,Karnataka Vikas Grameena Bank,KVGB,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,KVGB0001510
185,Andhra Pragathi Grameena Bank,APGB,Enabled,Enabled,on,Required,NULL
